"SAANICH CAMOSUN COLLEGE","BRITISH COLUMBIA","1016941","88","","","48.5","-123.42","483000000","-1232500000","38.1","1974","1975","","","1974","1975","1974","1975"
"SAANICH DENSMORE","BRITISH COLUMBIA","1016942","89","","","48.5","-123.4","483000000","-1232400000","59","1963","1992","","","1963","1992","1963","1992"
"SALTAIR","BRITISH COLUMBIA","1016980","90","","","48.97","-123.77","485800000","-1234600000","15.2","1959","1967","","","1959","1967","1959","1967"
"SALTSPRING ISLAND","BRITISH COLUMBIA","1016990","91","","","48.85","-123.5","485100000","-1233000000","73.2","1893","1977","","","1893","1977","1893","1977"
"SALTSPRING IS CUSHEON LK","BRITISH COLUMBIA","1016992","92","","","48.82","-123.48","484913000","-1232836000","107.9","1976","2001","","","1976","2001","1976","2001"
"SALTSPRING ST MARY'S L","BRITISH COLUMBIA","1016995","93","","","48.89","-123.55","485317000","-1233247000","45.7","1975","2016","","","1975","2016","1975","2007"
"SAANICH DOM ASTRO OBS","BRITISH COLUMBIA","10169DK","85","","","48.52","-123.42","483100000","-1232500000","222.5","1916","1977","","","1916","1977","1916","1977"
"SAANICH OLDFIELD","BRITISH COLUMBIA","10169MK","86","","","48.55","-123.42","483300000","-1232500000","69.8","1965","1966","","","1965","1966","1965","1966"
"SAANICHTON MT NEWTON","BRITISH COLUMBIA","1016RM0","78","","","48.6","-123.43","483551000","-1232538000","42.7","1980","2016","","","1980","2016","1980","2007"
"SALTSPRING VESUVIUS","BRITISH COLUMBIA","1017000","94","","","48.88","-123.57","485300000","-1233400000","7.6","1955","1975","","","1955","1975","1955","1975"
"SATURNA CAPMON","BRITISH COLUMBIA","1017098","95","","","48.78","-123.13","484631000","-1230740006","178","1989","2015","","","1989","2015","1989","2007"
"SATURNA CAPMON CS","BRITISH COLUMBIA","1017099","6810","71914","VTS","48.78","-123.13","484630080","-1230741080","178","1991","2016","2006","2016","1991","2016","1991","2007"
"SATURNA ISLAND CS","BRITISH COLUMBIA","1017101","96","71473","WEZ","48.78","-123.04","484702067","-1230241082","24.4","1980","2016","1994","2016","1980","2016","1980","2007"
"SHAWNIGAN LAKE","BRITISH COLUMBIA","1017230","97","","","48.65","-123.63","483849010","-1233735070","159","1911","2016","","","1911","2016","1911","2007"
"SHAWNIGAN LAKE NORTH","BRITISH COLUMBIA","1017233","98","","","48.65","-123.63","483900000","-1233800000","149.4","1973","1976","","","1973","1976","1973","1976"
"SHERINGHAM POINT","BRITISH COLUMBIA","1017254","6811","71780","WSP","48.38","-123.92","482236100","-1235515700","6.9","1992","2016","1994","2016","1992","2016","1992","2007"
"SIDNEY DEEP COVE","BRITISH COLUMBIA","1017329","99","","","48.68","-123.4","484100000","-1232400000","18.3","1967","1973","","","1967","1973","1967","1973"
"SOOKE","BRITISH COLUMBIA","1017556","100","","","48.37","-123.73","482200000","-1234400000","27.4","1970","1992","","","1970","1992","1970","1992"
"SOOKE GLINZ LAKE","BRITISH COLUMBIA","1017559","101","","","48.42","-123.63","482500000","-1233800000","256","1983","1995","","","1983","1995","1983","1995"
"SOOKE LAKE","BRITISH COLUMBIA","1017560","102","","","48.52","-123.7","483100000","-1234200000","172.8","1903","1966","","","1903","1966","1903","1966"
"SOOKE LAKE NORTH","BRITISH COLUMBIA","1017563","103","","","48.58","-123.64","483432000","-1233824000","231","1966","2011","","","1966","2011","1966","2007"
"SOOKE OTTER POINT","BRITISH COLUMBIA","1017570","104","","","48.37","-123.82","482200000","-1234900000","39.6","1974","1977","","","1974","1977","1974","1977"
"SOOKE SASEENOS","BRITISH COLUMBIA","1017575","105","","","48.38","-123.67","482300000","-1234000000","27.4","1976","1979","","","1976","1979","1976","1979"
"SOUTH PENDER ISLAND 2","BRITISH COLUMBIA","1017610","106","","","48.75","-123.22","484500000","-1231300000","91.1","1966","1982","","","1966","1982","1966","1982"
"TRIAL ISLAND","BRITISH COLUMBIA","1018238","27290","71034","WIN","48.4","-123.3","482342200","-1231817670","23","1997","1998","1997","1998","1998","1998","",""
"VICTORIA AMROTH PLACE","BRITISH COLUMBIA","1018590","108","","","48.45","-123.28","482700000","-1231700000","18.3","1967","1969","","","1967","1969","1967","1969"
"VICTORIA ARDMORE","BRITISH COLUMBIA","1018592","109","","","48.63","-123.47","483800000","-1232800000","24.4","1973","1976","","","1973","1976","1973","1976"
"VICTORIA BAY STREET","BRITISH COLUMBIA","1018595","110","","","48.43","-123.37","482600000","-1232200000","13.7","1958","1961","","","1958","1961","1958","1961"
"VICTORIA UNIVERSITY CS","BRITISH COLUMBIA","1018598","6812","71783","WYJ","48.46","-123.3","482725200","-1231816600","60.1","1992","2016","1994","2016","1992","2016","1992","2007"
"VICTORIA CAREY ROAD","BRITISH COLUMBIA","1018600","111","","","48.47","-123.47","482800000","-1232800000","19.8","1966","1967","","","1966","1967","1966","1967"
"VICTORIA FRANCIS PARK","BRITISH COLUMBIA","1018605","112","","","48.48","-123.44","482835000","-1232635000","55","1962","2016","","","1962","2016","1962","2007"
"VICTORIA GONZALES HTS","BRITISH COLUMBIA","1018610","113","","WLM","48.41","-123.33","482447061","-1231930017","69.5","1898","2004","1953","2000","1898","2004","1898","2004"
"VICTORIA GONZALES CS","BRITISH COLUMBIA","1018611","114","71200","WLM","48.41","-123.32","482447896","-1231929192","61.04","1972","2016","1994","2016","1973","2016","1972","2007"
"VICTORIA GORDON HEAD","BRITISH COLUMBIA","1018614","115","","","48.47","-123.3","482800000","-1231800000","42.7","1959","1983","","","1959","1983","1959","1983"
"VICTORIA HARBOUR A","BRITISH COLUMBIA","1018615","10944","","YWH","48.42","-123.39","482522000","-1232315000","0","1994","2015","1994","2015","","","",""
"VICTORIA HIGHLAND","BRITISH COLUMBIA","1018616","116","","","48.51","-123.51","483033000","-1233030000","190.6","1961","2012","","","1961","2012","1961","2007"
"VICTORIA HOLLAND 2","BRITISH COLUMBIA","1018617","117","","","48.48","-123.41","482902000","-1232423000","15.2","1960","2002","","","1960","2002","1960","2002"
"VICTORIA HIGHLANDS NORTH","BRITISH COLUMBIA","1018618","49468","","","48.54","-123.5","483215005","-1233004000","230","2011","2015","","","2011","2015","",""
"VICTORIA HARBOUR A","BRITISH COLUMBIA","1018619","53478","","YWH","48.42","-123.39","482522000","-1232315000","0","2015","2016","2015","2016","","","",""
"VICTORIA INT'L A","BRITISH COLUMBIA","1018620","118","71799","YYJ","48.65","-123.43","483850010","-1232533000","19.51","1940","2013","1953","2013","1940","2013","1940","2013"
"VICTORIA INTL A","BRITISH COLUMBIA","1018621","51337","71799","YYJ","48.65","-123.43","483850000","-1232533000","19.5","2013","2016","2013","2016","2013","2016","",""
